target,horizon,split,train_base_probability,n,positives,base_rate,brier,brier_skill_vs_train_base,log_loss,auc,pr_auc,ece,calibration_intercept,calibration_slope
lower_breach_only,24H,validation,0.29281098546042006,794,246,0.30982367758186397,0.2141223980847322,0.0,0.6196507355842137,0.4670197614384903,0.5137584652535853,0.01701269212144385,,
lower_breach_only,24H,test,0.29281098546042006,842,160,0.19002375296912113,0.1644799414398719,0.0,0.5140146749022315,0.4969299853372434,0.1861933518881717,0.10278723249129898,,
both_side_breach,1H,validation,0.31800158604282314,840,289,0.34404761904761905,0.22635725071057033,0.0,0.6452262895756332,0.477332814197527,0.36634382138343563,0.02604603300479602,,
both_side_breach,1H,test,0.31800158604282314,842,310,0.3681710213776722,0.23513809263721144,0.0,0.6636317450566832,0.5064455493572642,0.3640274467167871,0.05016943533484919,,
both_side_breach,2H,validation,0.2849206349206349,838,258,0.30787589498806683,0.21361527223812712,0.0,0.6186638667202112,0.5208099438652767,0.3064935166180067,0.022955260067432037,,
both_side_breach,2H,test,0.2849206349206349,842,286,0.33966745843230406,0.22729069079906095,0.0,0.6479179187841417,0.49907556472304676,0.33380587720992083,0.05474682351166921,,
both_side_breach,4H,validation,0.2901430842607313,834,259,0.3105515587529976,0.21452579394018256,0.0,0.6205389905195556,0.5014067483632701,0.3101057619496191,0.020408474492266293,,
both_side_breach,4H,test,0.2901430842607313,842,273,0.32422802850356297,0.22026599746029266,0.0,0.6327751806727989,0.48657435124921944,0.32945208598414283,0.03408494424283165,,
both_side_breach,8H,validation,0.3333333333333333,826,257,0.31113801452784506,0.21482378262039284,0.0,0.6211295456431595,0.542011721020563,0.28554438090631723,0.02219531880548825,,
both_side_breach,8H,test,0.3333333333333333,842,292,0.34679334916864607,0.2267088941673265,0.0,0.6458439403213521,0.5151307596513076,0.32799049139524383,0.013460015835312755,,
both_side_breach,12H,validation,0.3508,818,295,0.3606356968215159,0.23067433193154036,0.0,0.6539945774089507,0.5497358784068445,0.32386434606596265,0.009835696821515971,,
both_side_breach,12H,test,0.3508,842,315,0.37410926365795727,0.2346948442755344,0.0,0.6622878889116043,0.48031083401102376,0.4045958204683114,0.023309263657957324,,
both_side_breach,24H,validation,0.3772213247172859,794,257,0.3236775818639798,0.22177733726140741,0.0,0.6358427859593847,0.5430442942126963,0.28607549574660096,0.05354374285330604,,
both_side_breach,24H,test,0.3772213247172859,842,374,0.44418052256532065,0.25136772011537156,0.0,0.6962580337720882,0.4918300653594771,0.4954721255587382,0.06695919784803472,,
fast_1atr_touch,1H,validation,0.9801744647105471,840,817,0.9726190476190476,0.02668832015509092,0.0,0.12683121664066085,0.3436751636421691,0.9837865522880695,0.007555417091499428,,
